"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"734605",466732755,"12/27/12","6:25:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2220 N 56TH ST"
"176191",460725941,"3/24/12","2:57:00 PM","METER PARKING VIOLATION","2330 S KINNICKINNIC AVE"
"133047",460525170,"3/3/12","11:50:00 AM","METER PARKING VIOLATION","2254C/L S ALLIS ST"
"64172",459737036,"2/1/12","4:14:00 AM","NIGHT PARKING - WRONG SIDE","1822 W CONGRESS ST"
"62445",459816641,"2/1/12","2:04:00 AM","NIGHT PARKING","2549 N PALMER ST"
"711372",466600912,"12/14/12","2:29:00 PM","METER PARKING VIOLATION","840 N JEFFERSON ST"
"725199",466706380,"12/21/12","4:23:00 PM","TOW-AWAY ZONE (POSTED)","920 W WELLS ST"
"527870",464708370,"9/17/12","4:55:00 AM","NIGHT PARKING - WRONG SIDE","223 E ROSEDALE AVE"
"677258",465976652,"11/29/12","9:28:00 AM","METER PARKING VIOLATION","1416 E BRADY ST"
"549799",464463646,"9/26/12","2:03:00 AM","NIGHT PARKING - WRONG SIDE","330  W FLORIDA ST"
"632243",465707970,"11/6/12","3:30:00 PM","METER PARKING VIOLATION","789 N JEFFERSON ST ST"
"158793",460821255,"3/15/12","10:52:00 AM","OBSTRUCTING BUS LOADING ZONE","3309 N DOWNER AVE"
"164308",460918080,"3/19/12","5:00:00 AM","NIGHT PARKING - WRONG SIDE","3071 N 39TH ST"
"21350",459235556,"1/10/12","5:35:00 AM","NIGHT PARKING","2019 S 13TH ST"
"145931",460680334,"3/9/12","2:19:00 PM","METER PARKING VIOLATION","2330 N FARWELL AVE"
"184731",461031782,"3/29/12","5:01:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3059 N STOWELL AVE"
"22391",459536254,"1/11/12","5:02:00 AM","NIGHT PARKING - INELIGIBLE VEHICLE","2925 W ROOSEVELT DR"
"201809",461127306,"4/6/12","3:59:00 AM","NIGHT PARKING","5051 N 24TH ST"
"669042",465987001,"11/26/12","7:47:00 PM","PARKED POSTED PRIVATE PROPERTY","1101 N MARKET ST"
"612338",465643220,"10/27/12","4:20:00 AM","NIGHT PARKING","2039 N CAMBRIDGE AVE"
"379939",463143310,"7/3/12","1:26:00 PM","OBSTRUCTING BUS LOADING ZONE","2650 N DOWNER AVE"
"628571",465567336,"11/5/12","2:15:00 AM","NIGHT PARKING","800 S 29TH ST"
"111727",460213891,"2/22/12","12:15:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1117 N JACKSON ST"
"636705",465769010,"11/8/12","3:33:00 AM","NIGHT PARKING","2343 S 7TH ST"
"543029",464717584,"9/24/12","12:20:00 PM","METER PARKING VIOLATION","1415 W WELLS ST"
"521696",464644880,"9/13/12","1:14:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2340 N CAMBRIDGE AVE"
"31387",459574113,"1/15/12","7:14:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","3283 N 48TH ST"
"304101",462201994,"5/25/12","2:40:00 AM","NIGHT PARKING","234 S 62ND ST"
"154012",460980796,"3/14/12","3:09:00 AM","NIGHT PARKING","2469 N MARYLAND AVE"
"222420",461560562,"4/17/12","4:21:00 AM","NIGHT PARKING - WRONG SIDE","305 E WILSON ST"
"97326",460077380,"2/16/12","11:31:00 AM","METER PARKING VIOLATION","631 W NATIONAL AVE"
"76988",459973161,"2/7/12","9:32:00 AM","METER PARKING VIOLATION","1009 W MC KINLEY AVE"
"10796",459400852,"1/5/12","6:52:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","3600 W SCOTT ST"
"44082",459651290,"1/23/12","2:51:00 AM","NIGHT PARKING - WINTER RESTRICTED","4027 W CAPITOL DR"
"378790",463017645,"7/3/12","5:36:00 AM","NIGHT PARKING - WRONG SIDE","3255 S ILLINOIS AVE"
"380328",462753981,"7/3/12","12:21:00 PM","METER PARKING VIOLATION","4957 W FOND DU LAC AVE"
"139486",460415944,"3/7/12","2:56:00 AM","NIGHT PARKING - WRONG SIDE","511 N 34TH ST"
"558271",464876720,"10/1/12","1:19:00 PM","METER PARKING VIOLATION","2509 N DOWNER AVE"
"727211",466459770,"12/22/12","5:14:00 AM","NIGHT PARKING - WRONG SIDE","6504 W BENNETT AVE"
"91452",460158252,"2/14/12","5:08:00 AM","NIGHT PARKING","1921 W KILBOURN AVE"
"17638",459519970,"1/9/12","4:16:00 AM","NIGHT PARKING - WRONG SIDE","805 S 23 ST"
"22626",459522663,"1/11/12","4:30:00 AM","NIGHT PARKING","3938 N 7TH ST"
"224174",461484623,"4/18/12","2:00:00 AM","NIGHT PARKING - WRONG SIDE","600 W VLIET ST"
"672118",466164775,"11/28/12","4:43:00 AM","NIGHT PARKING - WRONG SIDE","2722 W BECHER ST"
"667199",466147710,"11/24/12","4:09:00 AM","NIGHT PARKING","2855 N MURRAY AVE"
"611798",465596191,"10/27/12","10:59:00 PM","PARKED POSTED PRIVATE PROPERTY","120 E NATIONAL AVE"
"732375",466729966,"12/26/12","2:54:00 PM","METER PARKING VIOLATION","2219 N PROSPECT AVE"
"41051",459810304,"1/21/12","4:37:00 AM","NIGHT PARKING - WINTER RESTRICTED","629 N JEFFERSON ST"
"558984",465090570,"10/1/12","3:00:00 AM","NIGHT PARKING - INELIGIBLE VEHICLE","3723 N 37TH ST"
"229070",461586871,"4/20/12","3:16:00 AM","NIGHT PARKING","1612 W WINDLAKE AVE"
"570350",464930771,"10/5/12","5:56:00 AM","NIGHT PARKING - WRONG SIDE","6113 N SHERMAN BLVD"
"576425",465100506,"10/9/12","10:42:00 AM","METER PARKING VIOLATION","436 W ST PAUL AV"
"616003",465557982,"10/30/12","9:21:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","2917 N MARYLAND AVE"
"524474",464602401,"9/14/12","1:48:00 PM","METER PARKING VIOLATION","732 W HIGHLAND AVE"
"93035",460332843,"2/15/12","4:27:00 AM","NIGHT PARKING - WINTER RESTRICTED","331 W MICHIGAN ST"
"207795",461239800,"4/10/12","3:26:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2977 N MARYLAND AVE"
"396340",463021311,"7/12/12","10:20:00 AM","METER PARKING VIOLATION","3125 N DOWNER AVE"
"438314",463674676,"8/3/12","11:45:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","830 E STATE ST"
"566204",465016705,"10/4/12","8:18:00 PM","METER PARKING VIOLATION","3085 N PROSPECT AVE"
"405497",462769381,"7/17/12","2:09:00 AM","NIGHT PARKING - WRONG SIDE","5245 N 29TH ST"
"516210",464161784,"9/11/12","8:04:00 PM","PARKED WITHIN 10 FEET OF FIRE HYDRANT","502 E LINUS ST"
"272179",461791396,"5/10/12","4:34:00 AM","NIGHT PARKING - WRONG SIDE","2434 N 34TH ST"
"310640",462385044,"5/30/12","4:57:00 AM","NIGHT PARKING","4007 W NORTH AVE"
"220065",461417736,"4/16/12","3:21:00 AM","NIGHT PARKING - WRONG SIDE","2616 N 50TH ST"
"524950",464730910,"9/14/12","4:18:00 AM","NIGHT PARKING - WRONG SIDE","2122 N HUBBARD ST"
"713380",466634803,"12/15/12","2:01:00 AM","NIGHT PARKING - WINTER RESTRICTED","2037 S 35TH ST"
"227378",461383226,"4/19/12","8:09:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","906 S 4TH ST"
"204790",461423314,"4/7/12","5:18:00 PM","METER PARKING VIOLATION","2031 E IVANHOE PL"
"152729",460830915,"3/13/12","5:48:00 AM","NIGHT PARKING","7039 N TEUTONIA AVE"
"648919",466058036,"11/14/12","4:46:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2979 N CRAMER ST"
"542121",464920245,"9/22/12","2:26:00 AM","NIGHT PARKING - WRONG SIDE","4102 N 39TH ST"
"462195",463871424,"8/15/12","2:21:00 AM","NIGHT PARKING - WRONG SIDE","327 N 41ST ST"
"213780",461478242,"4/12/12","10:04:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2330 E WEBSTER PL"
"141476",460519592,"3/7/12","2:11:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1715 N FARWELL AVE"
"110599",460390276,"2/22/12","5:40:00 AM","NIGHT PARKING - WRONG SIDE","1834 W WASHINGTON ST"
"703591",466433273,"12/11/12","2:18:00 AM","NIGHT PARKING - WRONG SIDE","3135 S 47TH ST"
"230627",461615022,"4/21/12","3:44:00 AM","NIGHT PARKING - WRONG SIDE","2733 W EVERGREEN LN"
"500733",464412012,"9/5/12","4:03:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2832 N MURRAY AVE"
"671904",662735522,"11/27/12","1:49:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2333 N 49TH ST"
"537888",464723836,"9/20/12","5:59:00 AM","NIGHT PARKING","1213 N 46TH ST"
"733978",466723316,"12/27/12","4:23:00 AM","NIGHT PARKING - WRONG SIDE","767 N JEFFERSON ST"
"281298",462119630,"5/15/12","4:39:00 AM","NIGHT PARKING - WRONG SIDE","1512 W KILBOURN AVE"
"485016",463898212,"8/27/12","2:35:00 AM","NIGHT PARKING - WRONG SIDE","3365 N 22ND ST"
"382777",463120711,"7/5/12","7:34:00 PM","METER PARKING VIOLATION","1031 N 6TH ST"
"395696",463260324,"7/12/12","4:35:00 PM","METER PARKING VIOLATION","519 N JEFFERSON ST"
"4353",459188295,"1/4/12","10:32:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2912 W KILBOURN AVE"
"505290",464429733,"9/6/12","4:55:00 AM","NIGHT PARKING - WRONG SIDE","4712 W GALENA ST"
"743787",466760523,"12/31/12","12:49:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2525 NATIONAL AVE"
"363820",462964434,"6/26/12","7:59:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","6087 N 37TH ST"
"456843",463621826,"8/13/12","2:18:00 AM","NIGHT PARKING - WRONG SIDE","2717 W EVERGREEN LA"
"107729",460269876,"2/21/12","12:52:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","746 S 23 ST"
"633079",465686712,"11/7/12","5:23:00 AM","NIGHT PARKING - WRONG SIDE","4955 S 13TH ST"
"237792",461689384,"4/25/12","5:15:00 PM","METER PARKING VIOLATION","624 N 4TH ST"
"162155",460753823,"3/17/12","4:46:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","916 E OGDEN AVE"
"129596",460382823,"3/1/12","12:34:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","3205 N BARTLETT AVE"
"537765",464607640,"9/20/12","8:43:00 PM","METER PARKING VIOLATION","1935 N FARWELL AVE"
"106040",460177782,"2/20/12","11:00:00 AM","METER PARKING VIOLATION","605 N 11TH ST"
"471770",464117334,"8/21/12","3:41:00 AM","NIGHT PARKING","1534 N VAN BUREN ST"
"188659",461172180,"3/30/12","2:11:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","5521 W CENTER ST"
"559138",464853992,"10/1/12","3:09:00 PM","TOW-AWAY ZONE (POSTED)","307 W WISCONSIN AVE"
"101027",460241563,"2/17/12","3:23:00 AM","NIGHT PARKING - WRONG SIDE","4385 S 14TH ST"
"555209",464793022,"9/28/12","2:13:00 AM","NIGHT PARKING - WRONG SIDE","1536 N HAWLEY RD"
"304962",462245066,"5/25/12","4:17:00 AM","NIGHT PARKING","9323 W LISBON AVE"
"401638",463189403,"7/15/12","5:49:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","3526 N 84TH ST"
"324609",462689636,"6/5/12","3:42:00 AM","NIGHT PARKING","2420 N BARTLETT AVE"
"434823",463642314,"8/2/12","5:50:00 AM","NIGHT PARKING - WRONG SIDE","2812 N BUFFUM ST"
"730729",466799911,"12/24/12","5:15:00 PM","METER PARKING VIOLATION","1002 N WATER ST"
"729085",466763846,"12/24/12","1:16:00 PM","METER PARKING VIOLATION","812 W WELLS ST"
"292063",462079520,"5/19/12","4:28:00 AM","NIGHT PARKING - WRONG SIDE","3511 S 9 PL"
"33951",459495831,"1/18/12","5:33:00 AM","NIGHT PARKING","1606 N MARSHALL ST"
"259248",461732880,"5/4/12","5:07:00 AM","NIGHT PARKING","3541 S 1ST ST"
"528574",464385316,"9/17/12","4:36:00 AM","NIGHT PARKING","3256 N 91ST ST"
"682543",464973062,"12/3/12","8:26:00 AM","TOW-AWAY ZONE (BLOCKING DRIVEWAY)","1540 W WASHINGTON ST"
"519331",464236404,"9/12/12","1:15:00 PM","METER PARKING VIOLATION","333 W WISCONSIN AVE"
"552220",464870884,"9/27/12","1:21:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3121 S 28TH ST"
"698560",466261320,"12/8/12","2:25:00 AM","NIGHT PARKING - WRONG SIDE","1224 W MANITOBA ST"
"317746",462460493,"6/1/12","1:57:00 PM","METER PARKING VIOLATION","741 N 9TH ST"
"280606",462098125,"5/15/12","2:56:00 AM","NIGHT PARKING","2950 N 24TH PL"
"255156",461762652,"5/3/12","1:25:00 PM","METER PARKING VIOLATION","1231 W VLIET ST"
"45392",458116934,"1/24/12","9:38:00 AM","METER PARKING VIOLATION","913 W WELLS ST"
"664985",465990895,"11/23/12","9:50:00 AM","METER PARKING VIOLATION","2165 N PROSPECT AVE"
"314279",462422925,"5/31/12","1:06:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","816 N 14TH ST"
"688465",466161124,"12/5/12","4:31:00 PM","METER PARKING VIOLATION","745 N 4TH ST"
"549732",464837914,"9/26/12","8:44:00 PM","METER PARKING VIOLATION","1935 N FARWELL AVE"
"655124",465999030,"11/16/12","3:21:00 PM","METER PARKING VIOLATION","231 W WELLS ST"
"361055",462951661,"6/23/12","5:58:00 AM","NIGHT PARKING - WRONG SIDE","439 W WALKER ST"
"133390",460525273,"3/3/12","1:10:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","204 W WASHINGTON ST"
"551543",464750893,"9/27/12","5:19:00 AM","NIGHT PARKING","2126 S 23RD ST"
"142548",662638955,"3/8/12","1:11:00 AM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","2256 S 15TH ST"
"572272",464863162,"10/7/12","8:26:00 PM","PARKED WITHIN 10 FEET OF FIRE HYDRANT","2702 N FREDERICK AVE"
"433857",463735521,"8/1/12","3:17:00 AM","NIGHT PARKING","2571 N STOWELL AVE"
"711211",466531973,"12/14/12","6:13:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","6903 N DARIEN ST"
"494604",464245246,"8/31/12","3:58:00 PM","TOW-AWAY ZONE (POSTED)","704 N WATER ST"
"39222",459374510,"1/20/12","4:48:00 AM","NIGHT PARKING - WRONG SIDE","2814 W CARMEN AVE"
"64005",459859886,"2/1/12","12:43:00 PM","METER PARKING VIOLATION","1030 N 6TH ST"
"284436",461977795,"5/16/12","11:27:00 AM","METER PARKING VIOLATION","3265 N MARYLAND AVE"
"734416",466770802,"12/27/12","2:00:00 AM","NIGHT PARKING - WRONG SIDE","5451 N 74TH ST"
"543864",464566815,"9/24/12","1:01:00 PM","METER PARKING VIOLATION","803 W HISTORIC MITCHELL ST"
"655207",465507512,"11/16/12","3:59:00 PM","METER PARKING VIOLATION","2150 N PROSPECT AVE"
"439001",463788846,"8/3/12","4:43:00 AM","NIGHT PARKING","2950 N 37TH ST"
"39045",459546231,"1/20/12","4:53:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","3112 W SCOTT ST"
"624798",465608264,"11/2/12","11:46:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","829 N MARSHALL ST"
"573107",464949015,"10/8/12","10:29:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2782 S TAYLOR AVE"
"718092",466569902,"12/18/12","2:39:00 AM","NIGHT PARKING - WRONG SIDE","5730 N 97TH ST"
"404095",462695601,"7/17/12","12:33:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1131 N JACKSON ST"
"438242",463609473,"8/3/12","3:30:00 AM","NIGHT PARKING","2250 N 15TH ST"
"671120",466005746,"11/27/12","11:36:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2502 E WEBSTER PL"
"193379",461082790,"4/2/12","3:36:00 AM","NIGHT PARKING","597 E ERIE ST"
"347265",462742501,"6/16/12","2:52:00 AM","NIGHT PARKING - WRONG SIDE","8044 W TRIPOLI AVE"
"35937",458318276,"1/19/12","3:07:00 PM","METER PARKING VIOLATION","1219 W FOREST HOME AVE"
"433233",463508861,"8/1/12","11:00:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2605 E KENWOOD BLVD"
"56066",459808624,"1/28/12","6:14:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1915 N WATER ST"
"243357",461610494,"4/27/12","3:47:00 AM","NIGHT PARKING","8820 W CLOVERNOOK CT"
"617858",465500582,"10/30/12","8:56:00 AM","METER PARKING VIOLATION","625 N 18TH ST"
"433991",463768340,"8/1/12","5:33:00 AM","NIGHT PARKING","924 E MEINECKE AVE"
"114402",460444014,"2/23/12","3:29:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1805 N ARLINGTON PL"
"7492",459295152,"1/5/12","2:39:00 AM","NIGHT PARKING","3226 N 36TH ST"
"278113",462040423,"5/12/12","10:55:00 AM","OBSTRUCTING BUS LOADING ZONE","1644 N DR. M.L. KING JR. DR"
"284617",461928972,"5/16/12","2:12:00 PM","METER PARKING VIOLATION","928 W STATE ST"
"137889",460483240,"3/6/12","10:49:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2640 N 10TH ST"
"690256",466305151,"12/5/12","5:56:00 AM","NIGHT PARKING - WRONG SIDE","1619 S UNION ST"
"167930",459870655,"3/20/12","5:20:00 PM","OBSTRUCTING BUS LOADING ZONE","319 N WATER ST"
"645937",465542895,"11/13/12","10:21:00 AM","OBSTRUCTING BUS LOADING ZONE","5924 W NORTH AVE"
"234127",461741350,"4/24/12","2:22:00 PM","METER PARKING VIOLATION","429 E LINCOLN AVE"
"141",459348503,"1/1/12","8:00:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1331 E HAMILTON ST"
"693629",466328601,"12/6/12","5:55:00 AM","NIGHT PARKING - WINTER RESTRICTED","5716 W VILLARD AVE"
"671020",465891731,"11/27/12","7:23:00 PM","METER PARKING VIOLATION","2419 KENWOOD BLVD"
"59957",459797015,"1/31/12","11:29:00 AM","METER PARKING VIOLATION","708 N MILWAUKEE ST"
"307082",462492052,"5/26/12","4:41:00 AM","NIGHT PARKING - WRONG SIDE","3228 N 46TH ST"
"427332",463427182,"7/28/12","9:32:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1400 W HAYES AVE"
"211786",461153873,"4/11/12","2:55:00 AM","NIGHT PARKING","2208 N 48TH ST"
"428834",463273123,"7/30/12","5:09:00 AM","NIGHT PARKING - WRONG SIDE","3850 S 84TH ST"
"549998",464864816,"9/26/12","4:31:00 AM","NIGHT PARKING - WRONG SIDE","2730 S LOGAN AVE"
"418865",463317234,"7/24/12","3:02:00 PM","TOW-AWAY ZONE (POSTED)","924 W WELLS ST"
"297908",462249900,"5/22/12","3:19:00 AM","NIGHT PARKING","443 N 41TH ST"
"332491",462381743,"6/8/12","2:52:00 AM","NIGHT PARKING - WRONG SIDE","4624 N 50TH ST"
"555187",464982836,"9/28/12","2:12:00 AM","NIGHT PARKING - WRONG SIDE","222 W PITTSBURGH AVE"
"182724",460891664,"3/28/12","1:19:00 PM","METER PARKING VIOLATION","832 E WISCONSIN AVE"
"24836",459383945,"1/12/12","1:22:00 PM","METER PARKING VIOLATION","735 N 9TH ST"
"368781",462983360,"6/27/12","2:26:00 AM","NIGHT PARKING - WRONG SIDE","4105 S LOGAN AVE"
"88600",460120301,"2/13/12","9:16:00 AM","METER PARKING VIOLATION","315 N JEFFERSON ST"
"383973",463154296,"7/6/12","10:59:00 AM","METER PARKING VIOLATION","648 N 4TH ST"
"544900",464866883,"9/24/12","3:43:00 AM","NIGHT PARKING - WRONG SIDE","4630 W AUER AVE"
"518348",464614570,"9/12/12","3:26:00 AM","NIGHT PARKING","161 S 77TH ST"
"248732",461660555,"5/1/12","1:49:00 AM","PARKED MORE THAN 12 INCHES FROM CURB","1901 E BRADFORD AVE"
"495267",464168950,"8/31/12","11:27:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3205 N OAKLAND AVE"
"404881",463396404,"7/17/12","2:06:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2606 N 7TH ST"
"181740",461055221,"3/27/12","4:55:00 AM","NIGHT PARKING","3168 N 42ND ST"
"101106",460276692,"2/17/12","2:46:00 AM","NIGHT PARKING","1041 S 33 ST"
"118375",460497181,"2/25/12","3:49:00 AM","NIGHT PARKING - WRONG SIDE","3079 S 11 ST"
"167719",460964431,"3/20/12","5:36:00 AM","NIGHT PARKING","2429 S 13TH ST"
"89330",460192806,"2/13/12","1:50:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","808 N 18TH ST"
"112237",460374950,"2/23/12","3:15:00 AM","NIGHT PARKING - WRONG SIDE","1235 S 36 ST"
"501410",464312531,"9/5/12","12:49:00 PM","RESIDENTIAL PARKING PROGRAM","3024 N PROSPECT AVE"
"393313",463244445,"7/11/12","5:45:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"697360",466536711,"12/8/12","6:08:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1504 E WINDSOR PL"
"219291",461292300,"4/16/12","4:58:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2873 N FREDERICK AVE"
"84674",458617784,"2/10/12","12:21:00 PM","METER PARKING VIOLATION","2310 N MURRAY AVE"
"362732",463018485,"6/25/12","11:22:00 AM","METER PARKING VIOLATION","913 N 4TH ST"
"673823",466208805,"11/28/12","9:49:00 AM","METER PARKING VIOLATION","789 N JACKSON ST"
"238191",461486395,"4/25/12","2:21:00 AM","NIGHT PARKING","9832 W BELOIT RD"
"99846",460170583,"2/17/12","5:15:00 AM","NIGHT PARKING - WINTER RESTRICTED","5809 N 68TH ST"
"291766",462204654,"5/19/12","5:36:00 AM","NIGHT PARKING","8246 W THURSTON AVE"
"406875",463186850,"7/18/12","2:24:00 PM","METER PARKING VIOLATION","3265 N DOWNER AVE"
"565418",464929161,"10/4/12","3:23:00 AM","NIGHT PARKING - WRONG SIDE","3410 S 8TH ST"
"236798",461622700,"4/25/12","10:31:00 AM","PARKED IN SCHOOL ZONE","635 S 4TH ST"
"628087",465462642,"11/4/12","8:49:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1711 S 9TH ST"
"382036",463234811,"7/5/12","1:36:00 PM","METER PARKING VIOLATION","806 N 10TH ST"
"313806",462570360,"5/31/12","9:07:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"109328",460317583,"2/22/12","7:23:00 PM","METER PARKING VIOLATION","3070 N STOWELL AVE"
"342646",462183470,"6/14/12","11:27:00 AM","METER PARKING VIOLATION","716 N JAMES LOVELL ST"
"596232",465479280,"10/19/12","4:42:00 AM","NIGHT PARKING","1720 E PROVIDENCE AVE"
"506932",464608060,"9/7/12","4:41:00 AM","NIGHT PARKING","2407 N OAKLAND AVE"
"589867",465220571,"10/16/12","7:27:00 PM","METER PARKING VIOLATION","2413 E KENWOOD BLVD"
"560134",465036294,"10/2/12","11:48:00 AM","METER PARKING VIOLATION","300 W ST PAUL AVE"
"619806",465664065,"10/31/12","12:36:00 PM","METER PARKING VIOLATION","1041 N 6TH ST"
"263490",462128236,"5/7/12","5:17:00 AM","NIGHT PARKING - WRONG SIDE","2209 W GREENFIELD AVE"
"492581",464212884,"8/30/12","4:16:00 PM","METER PARKING VIOLATION","414 E WISCONSIN AVE"
"110318",460353154,"2/22/12","4:15:00 AM","NIGHT PARKING - WINTER RESTRICTED","6701 N 84TH ST"
"1870",458164523,"1/3/12","8:11:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","3019 W JUNEAU AVE"
"519088",464397334,"9/12/12","7:04:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2113 W LINCOLN AVE"
"38866",459698234,"1/20/12","4:23:00 AM","NIGHT PARKING - WINTER RESTRICTED","3842 N PORT WASHINGTON AVE"
"17576",459437344,"1/9/12","11:42:00 AM","METER PARKING VIOLATION","313 W MICHIGAN ST"
"213918",461023824,"4/12/12","3:52:00 PM","METER PARKING VIOLATION","526 N JEFFERSON ST"
"347418",462809443,"6/16/12","2:05:00 AM","NIGHT PARKING - WRONG SIDE","4022 N 49TH ST"
"370352",462933100,"6/28/12","1:27:00 PM","METER PARKING VIOLATION","744 N 8TH ST"
"269916",462056302,"5/9/12","9:46:00 AM","METER PARKING VIOLATION","628 N BROADWAY ST"
"275822",462171345,"5/11/12","2:58:00 AM","NIGHT PARKING","3064 N MARYLAND AVE"
"722569",466673771,"12/20/12","4:09:00 PM","METER PARKING VIOLATION","1109 N WATER ST"
"484605",464093276,"8/27/12","9:44:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","802 N MILWAUKEE ST"
"649781",466059112,"11/14/12","10:18:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2301 E PARK PL"
"245630",461537215,"4/28/12","3:57:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","278 E ERIE ST"
"200103",461344391,"4/5/12","2:45:00 AM","NIGHT PARKING","2570 N BOOTH ST"
"278252",462087555,"5/13/12","12:43:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","4745 W WISCONSIN AVE"
"365500",462704771,"6/26/12","4:40:00 PM","PARKED WRONG DIRECTION","702 N 29TH ST"
"11901",459426516,"1/6/12","3:16:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2022 W CAPITOL DR"
"218262",461320020,"4/14/12","2:30:00 AM","NIGHT PARKING","439 E LLOYD ST"
"13178",459275714,"1/6/12","12:52:00 PM","METER PARKING VIOLATION","245 E BUFFALO ST"
"360419",462952560,"6/23/12","11:14:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1318 N ASTOR ST"
"490564",464338151,"8/29/12","4:22:00 AM","NIGHT PARKING - WRONG SIDE","4051 N 19TH ST"
"63341",459832995,"2/1/12","2:54:00 AM","NIGHT PARKING","3351 S PENNSYLVANIA AVE"
"116101",460468724,"2/24/12","3:47:00 AM","NIGHT PARKING - WRONG SIDE","3468 S 15 ST"
"692517",466262871,"12/6/12","1:09:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1023 E KNAPP ST"
"395257",463343683,"7/11/12","5:18:00 AM","NIGHT PARKING - WRONG SIDE","1235 W EUCLID AVE"
"582354",465177436,"10/12/12","5:55:00 AM","NIGHT PARKING","1813 W JUNEAU AVE"
"583017",465126535,"10/12/12","12:24:00 PM","METER PARKING VIOLATION","710 W HISTORIC MITCHELL ST"
"50481",459507941,"1/26/12","3:47:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2711 E KENWOOD BLVD"
"385169",661860721,"7/6/12","8:44:00 PM","PARKED IN LOADING ZONE","155 N JACKSON ST"
"576455",465122560,"10/9/12","10:56:00 AM","METER PARKING VIOLATION","633 E MASON ST"
"39034",459487626,"1/20/12","5:14:00 PM","METER PARKING VIOLATION","520 N 16TH ST"
"647891",465982226,"11/14/12","4:02:00 AM","NIGHT PARKING","9721 W REICHERT PL"
"430850",463416693,"7/31/12","2:51:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2591 N STOWELL AVE"
